"stationid","datetime","local_date","tmin","tmax","rrr24","sshn","ff_max","dd_max","tm","td_m","um","pqnhm","ewm","p0max","p0min"
"40766","2010-01-01 00:00:00","1388-10-11 00:00:00","3.8","9.6","0.01","3.2","8","290","6.7","2.52077","82.625","1016.06","7.33985","869.3","865.6"
"40766","2010-01-02 00:00:00","1388-10-12 00:00:00","-1.8","10.1","0.0","5.7","7","270","4.2","1.38308","85.25","1019.98","6.82947","872.0","869.6"
"40766","2010-01-03 00:00:00","1388-10-13 00:00:00","-1.3","15.1","0.0","8.6","6","190","6.9","0.369574","68.125","1020.47","6.30819","872.2","870.0"
"40766","2010-01-04 00:00:00","1388-10-14 00:00:00","3.9","15.2","0.0","8.4","7","180","9.6","-1.42967","44.75","1020.44","5.51651","871.9","870.6"
"40766","2010-01-05 00:00:00","1388-10-15 00:00:00","5.4","16.0","0.0","9.3","5","190","10.7","-1.92364","47.0","1020.77","5.31857","872.5","870.3"
"40766","2010-01-06 00:00:00","1388-10-16 00:00:00","-1.6","14.1","0.0","8.5","6","280","6.3","-0.281269","70.125","1022.26","5.99878","873.8","872.0"
"40766","2010-01-07 00:00:00","1388-10-17 00:00:00","-2.2","14.0","0.0","2.9","4","110","5.9","-1.5096","66.875","1024.08","5.48167","875.5","873.7"
"40766","2010-01-08 00:00:00","1388-10-18 00:00:00","-3.3","15.3","0.0","8.4","2","110","6.0","-1.17633","68.125","1025.09","5.62767","876.7","874.4"
"40766","2010-01-09 00:00:00","1388-10-19 00:00:00","-3.4","13.3","0.0","4.5","7","90","4.9","-2.50907","62.25","1024.75","5.10158","876.1","873.9"
"40766","2010-01-10 00:00:00","1388-10-20 00:00:00","0.0","13.5","0.0","9.3","11","110","6.8","-5.40882","48.625","1025.14","4.10513","876.2","874.6"
"40766","2010-01-11 00:00:00","1388-10-21 00:00:00","-4.0","13.4","0.0","8.6","5","270","4.7","-4.31659","55.25","1024.29","4.44859","876.2","873.4"
"40766","2010-01-12 00:00:00","1388-10-22 00:00:00","-3.5","16.2","0.0","7.3","5","210","6.4","-4.91945","50.75","1023.04","4.26542","874.6","872.1"
